Generated by mdgx executing fitting.mdgx.
MASS

BOND

ANGL

DIHE
c3-n -c -c3   1     1.71565    0.0  1.0  c5 GA AUE=0.9706 RMSE=1.2796 TorType=2, Fit by mdgx
o -c -c3-hc   1    -0.13576    0.0 -1.0  CH3COO,CH3COOH GA AUE=0.0144 RMSE=0.0193 TorType=2, Fit by mdgx
o -c -c3-hc   1     0.09619  180.0  3.0  , Fit by mdgx
ho-oh-c3-c3   1     1.54044    0.0  3.0  m19 SS AUE=0.1539 RMSE=0.2110 TorType=2, Fit by mdgx
c3-os-c3-h1   1    -0.09260    0.0  3.0  c52 SS AUE=0.2706 RMSE=0.3300 TorType=3, Fit by mdgx
c3-ss-c3-c3   1    -0.30955    0.0  3.0  p9 SS AUE=0.4614 RMSE=0.5750 TorType=3, Fit by mdgx
c3-ss-c3-h1   1     0.32287    0.0  3.0  c58 SS AUE=0.2551 RMSE=0.3303 TorType=3, Fit by mdgx
ca-c3-c3-n    1    -0.63856    0.0  3.0  p16 SS AUE=0.6330 RMSE=0.8053 TorType=3, Fit by mdgx
ca-ca-c3-ca   1     0.49238  180.0  2.0  t1 SS AUE=0.1988 RMSE=0.2606 TorType=3, Fit by mdgx
ca-cp-cp-ca   1     0.79433  180.0  2.0  c61 SS AUE=0.2914 RMSE=0.3303 TorType=3, Fit by mdgx
c -c3-c3-n    1     2.09445    0.0  3.0  p26 SS AUE=1.0437 RMSE=1.3000 TorType=3, Fit by mdgx
c -c3-n -c    1     0.21870  180.0  2.0  p18 GA AUE=0.4030 RMSE=0.5768 TorType=3, Fit by mdgx
c -c3-n -c    1     0.81887    0.0  1.0  p18 GA AUE=0.4030 RMSE=0.5768 TorType=3, Fit by mdgx
c -n -ca-ca   1     1.03599  180.0  2.0  c62 SS AUE=0.8788 RMSE=0.9694 TorType=3, Fit by mdgx
h1-c3-n2-c2   1     8.37602  180.0  3.0  c45 SS AUE=0.6984 RMSE=0.9045 TorType=3, Fit by mdgx
h1-c3-n3-c3   1     1.48215    0.0  3.0  c46 SS AUE=0.2936 RMSE=0.3481 TorType=3, Fit by mdgx
h1-c3-n -c    1    -0.03770  180.0  2.0  c44 SS AUE=0.1670 RMSE=0.1874 TorType=3, Fit by mdgx
hc-c3-c3-n3   1    -0.04593    0.0  3.0  m12 SS AUE=0.1396 RMSE=0.1646 TorType=3, Fit by mdgx
hc-c3-ca-ca   1    -0.70175  180.0  2.0  c43 SS AUE=0.0203 RMSE=0.0347 TorType=3, Fit by mdgx
hn-n3-c3-c3   1     4.76881    0.0  3.0  m20 SS AUE=0.7039 RMSE=0.8271 TorType=3, Fit by mdgx
ho-oh-c3-h1   1    -0.65520    0.0  3.0  c51 SS AUE=0.2631 RMSE=0.3230 TorType=3, Fit by mdgx
ho-oh-ca-ca   1     0.82980  180.0  2.0  c69 SS AUE=0.2718 RMSE=0.3256 TorType=3, Fit by mdgx
hs-sh-c3-h1   1     0.82382    0.0  3.0  c57 SS AUE=0.2676 RMSE=0.3251 TorType=3, Fit by mdgx
n3-c3-c3-c3   1     0.29205    0.0  3.0  p8 SS AUE=0.4096 RMSE=0.5005 TorType=3, Fit by mdgx
n -c3-c3-c3   1    -0.01664    0.0  3.0  p23 SS AUE=0.2641 RMSE=0.3317 TorType=3, Fit by mdgx
c3-c3-c -o    1     0.63163  180.0 -2.0  sialic1,t37,t41 GA AUE=0.7374 RMSE=0.9897 TorType=3, Fit by mdgx
oh-c3-c3-c3   1    -7.57496    0.0  3.0  p7 SS AUE=0.6517 RMSE=0.7713 TorType=3, Fit by mdgx
oh-c3-c3-n    1    -3.04533    0.0  3.0  p24 SS AUE=0.9998 RMSE=1.2475 TorType=3, Fit by mdgx
o -no-ca-ca   1     2.21741  180.0  2.0  c68 SS AUE=0.2638 RMSE=0.3293 TorType=3, Fit by mdgx
sh-c3-c3-n    1     0.81234    0.0  3.0  p4 SS AUE=1.1296 RMSE=1.3941 TorType=3, Fit by mdgx
c3-c3-ca-ca   1    -0.15716  180.0  2.0  m15,m17 SS AUE=0.2499 RMSE=0.3414 TorType=3, Fit by mdgx
c3-c3-c -o    1    -2.81156  180.0 -3.0  , Fit by mdgx
c3-c3-c -o    1     0.44885    0.0  1.0  , Fit by mdgx
c3-c3-os-c3   1    -1.88705    0.0  1.0  , Fit by mdgx
c2-ce-ce-c2   1    -2.92432  180.0  2.0  c232,t3 SS AUE=0.7154 RMSE=0.9564 TorType=3, Fit by mdgx
c3-c -n -ca   1     3.15582  180.0 -2.0  c10 GA AUE=1.0418 RMSE=1.1578 TorType=3, Fit by mdgx
c3-c -n -ca   1     0.19920    0.0  3.0  c10 GA AUE=1.0418 RMSE=1.1578 TorType=3, Fit by mdgx
c3-n3-c3-c3   1    -1.75133    0.0 -3.0  m14 GA AUE=0.4298 RMSE=0.5205 TorType=3, Fit by mdgx
