atom_index,symbol,atomic_num,is_h
1,C,6,0
2,N,7,0
3,C,6,0
4,C,6,0
5,O,8,0
6,C,6,0
7,N,7,0
8,C,6,0
9,C,6,0
10,C,6,0
11,C,6,0
12,C,6,0
13,C,6,0
14,C,6,0
15,C,6,0
16,F,9,0
17,H,1,1
18,H,1,1
19,H,1,1
20,H,1,1
21,H,1,1
22,H,1,1
23,H,1,1
24,H,1,1
25,H,1,1
26,H,1,1
27,H,1,1
28,H,1,1
29,H,1,1
30,H,1,1
31,H,1,1
32,H,1,1
33,H,1,1
